00000000,          ,""
0a4c6bb5,          ,"this string does not count."
0f831860,          ,"Failed to decode request payload from channel %u"
0fbd23ba,          ,"Failed to send response packet for channel %u"
130e2c4b,          ,"Received incomplete packet on interface %s"
39b2c339,          ,"Failed to decode packet on interface %s"
3f774ea7,          ,"Unable to handle packet of type %u"
5a626f6b,          ,"Blink!"
74627b3f,          ,"Received CANCEL packet for method that is not pending"
76cb0892,          ,"Tokenize strings 'cause"
92a63809,          ,"Received %lu-byte frame; frame must be at least 6 bytes"
aecb244f,          ,"Frame size [%lu] exceeds the maximum buffer size [%lu]"
b3e37df6,          ,"Frame check sequence verification failed"
c51612b3,          ,"Failed to encode response packet to channel buffer"
d2d5d9aa,          ,"Failed to encode response packet for channel %u"
e3cbc517,          ,"logs create bloated binaries"
